{'time': '11:45:14', 'temperature': 37, 'pH': 7.8, 'pump': 'on', 'acid_valve': 'on', 'base_valve': 'off', 'agitator': 'on'}
{'time': '01:40:14', 'temperature': 55.399999999999736, 'pH': 6.900000000000049, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '01:45:14', 'temperature': 55.19999999999973, 'pH': 6.80000000000005, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '01:50:14', 'temperature': 54.99999999999973, 'pH': 6.70000000000005, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '01:55:14', 'temperature': 55.49999999999973, 'pH': 6.90000000000005, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '02:00:14', 'temperature': 55.29999999999973, 'pH': 6.8000000000000504, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '02:05:14', 'temperature': 55.099999999999724, 'pH': 6.700000000000051, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '02:10:14', 'temperature': 54.89999999999972, 'pH': 6.900000000000051, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '02:15:14', 'temperature': 55.39999999999972, 'pH': 6.800000000000051, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '02:20:14', 'temperature': 55.19999999999972, 'pH': 6.700000000000052, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '02:25:14', 'temperature': 54.999999999999716, 'pH': 6.900000000000052, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '02:30:14', 'temperature': 55.499999999999716, 'pH': 6.800000000000052, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '02:35:14', 'temperature': 55.29999999999971, 'pH': 6.700000000000053, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '02:40:14', 'temperature': 55.09999999999971, 'pH': 6.900000000000053, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '02:45:14', 'temperature': 54.89999999999971, 'pH': 6.800000000000053, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '02:50:14', 'temperature': 55.39999999999971, 'pH': 6.7000000000000535, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '02:55:14', 'temperature': 55.199999999999704, 'pH': 6.900000000000054, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '03:00:14', 'temperature': 54.9999999999997, 'pH': 6.800000000000054, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '03:05:14', 'temperature': 55.4999999999997, 'pH': 6.700000000000054, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '03:10:14', 'temperature': 55.2999999999997, 'pH': 6.9000000000000545, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '03:15:14', 'temperature': 55.099999999999696, 'pH': 6.800000000000055, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '03:20:14', 'temperature': 54.89999999999969, 'pH': 6.700000000000055, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '03:25:14', 'temperature': 55.39999999999969, 'pH': 6.900000000000055, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '03:30:14', 'temperature': 55.19999999999969, 'pH': 6.800000000000056, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '03:35:14', 'temperature': 54.99999999999969, 'pH': 6.700000000000056, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '03:40:14', 'temperature': 55.49999999999969, 'pH': 6.900000000000056, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '03:45:14', 'temperature': 55.299999999999685, 'pH': 6.800000000000057, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '03:50:14', 'temperature': 55.09999999999968, 'pH': 6.700000000000057, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '03:55:14', 'temperature': 54.89999999999968, 'pH': 6.900000000000057, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '04:00:14', 'temperature': 55.39999999999968, 'pH': 6.8000000000000576, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '04:05:14', 'temperature': 55.199999999999676, 'pH': 6.700000000000058, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '04:10:14', 'temperature': 54.99999999999967, 'pH': 6.900000000000058, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '04:15:14', 'temperature': 55.49999999999967, 'pH': 6.800000000000058, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '04:20:14', 'temperature': 55.29999999999967, 'pH': 6.700000000000059, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '04:25:14', 'temperature': 55.09999999999967, 'pH': 6.900000000000059, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '04:30:14', 'temperature': 54.899999999999665, 'pH': 6.800000000000059, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '04:35:14', 'temperature': 55.399999999999665, 'pH': 6.70000000000006, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '04:40:14', 'temperature': 55.19999999999966, 'pH': 6.90000000000006, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '04:45:14', 'temperature': 54.99999999999966, 'pH': 6.80000000000006, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '04:50:14', 'temperature': 55.49999999999966, 'pH': 6.700000000000061, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '04:55:14', 'temperature': 55.299999999999656, 'pH': 6.900000000000061, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '05:00:14', 'temperature': 55.09999999999965, 'pH': 6.800000000000061, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '05:05:14', 'temperature': 54.89999999999965, 'pH': 6.7000000000000615, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '05:10:14', 'temperature': 55.39999999999965, 'pH': 6.900000000000062, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '05:15:14', 'temperature': 55.19999999999965, 'pH': 6.800000000000062, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '05:20:14', 'temperature': 54.999999999999645, 'pH': 6.700000000000062, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '05:25:14', 'temperature': 55.499999999999645, 'pH': 6.9000000000000625, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
